Name,Description,ImageUrl,OwnerName,OwnerEmail,Cuisine,Latitude,Longitude
Bella Napoli,Wood-fired Neapolitan pizza and fresh handmade pasta,https://loremflickr.com/600/400/pizza?lock=1,Marco Rossi,owner.bella-napoli@example.com,Italian,40.7128,-74.0060
Sakura Sushi,Authentic Japanese sushi rolls and steaming ramen bowls,https://loremflickr.com/600/400/sushi?lock=2,Yuki Tanaka,owner.sakura-sushi@example.com,Japanese,40.7208,-74.0140
El Toro Taqueria,Street-style tacos burritos and loaded quesadillas,https://loremflickr.com/600/400/tacos?lock=3,Carlos Mendez,owner.el-toro@example.com,Mexican,40.7288,-74.0220
The Green Fork,Plant-based bowls salads and cold-pressed juices,https://loremflickr.com/600/400/salad?lock=4,Elena Green,owner.green-fork@example.com,French,40.7368,-74.0300
Burger Republic,Smash burgers crispy fries and thick milkshakes,https://loremflickr.com/600/400/burger?lock=5,Jake Miller,owner.burger-republic@example.com,Mexican,40.7448,-74.0380
Spice of India,Rich curries tandoori grills and fresh naan,https://loremflickr.com/600/400/curry?lock=6,Priya Sharma,owner.spice-of-india@example.com,Chinese,40.7528,-74.0460
Le Petit Bistro,Classic French plates with a seasonal menu,https://loremflickr.com/600/400/bistro?lock=7,Claire Dubois,owner.petit-bistro@example.com,French,40.7608,-74.0540
Dragon Wok,Sizzling stir-fries dumplings and noodle soups,https://loremflickr.com/600/400/noodles?lock=8,Wei Chen,owner.dragon-wok@example.com,Chinese,40.7688,-74.0620
Mama Mia Trattoria,Hearty Italian comfort food and house wines,https://loremflickr.com/600/400/pasta?lock=9,Sofia Romano,owner.mama-mia@example.com,Italian,40.7768,-74.0700
The Smokehouse,Slow-smoked barbecue ribs brisket and pulled pork,https://loremflickr.com/600/400/barbecue?lock=10,Hank Brooks,owner.smokehouse@example.com,Mexican,40.7848,-74.0780
Ocean Catch,Fresh seafood platters oysters and grilled fish,https://loremflickr.com/600/400/seafood?lock=11,Mia Sullivan,owner.ocean-catch@example.com,French,40.7928,-74.0860
Thai Orchid,Aromatic pad thai green curry and mango rice,https://loremflickr.com/600/400/thai?lock=17,Anong Srisai,owner.thai-orchid@example.com,Chinese,40.8008,-74.0940
The Cheese Board,Artisan grilled cheese soups and charcuterie,https://loremflickr.com/600/400/cheese?lock=18,Olivia Kraft,owner.cheese-board@example.com,French,40.8088,-74.1020
Sultan Kebab,Turkish kebabs pide and sweet baklava,https://loremflickr.com/600/400/kebab?lock=19,Emre Yilmaz,owner.sultan-kebab@example.com,Italian,40.8168,-74.1100
Berlin Haus,German sausages schnitzel and pretzels,https://loremflickr.com/600/400/sausage?lock=20,Klaus Becker,owner.berlin-haus@example.com,French,40.8248,-74.1180
The Noodle Bar,Hand-pulled ramen udon and gyoza,https://loremflickr.com/600/400/ramen?lock=21,Jin Park,owner.noodle-bar@example.com,Japanese,40.8328,-74.1260
Sweet Tooth,Decadent cakes pastries and artisan gelato,https://loremflickr.com/600/400/dessert?lock=22,Emma Frost,owner.sweet-tooth@example.com,French,40.8408,-74.1340
Farm Table,Locally sourced seasonal farm-to-table dining,https://loremflickr.com/600/400/farm?lock=23,Hannah Fields,owner.farm-table@example.com,French,40.8488,-74.1420
The Curry House,Spicy vindaloo butter chicken and biryani,https://loremflickr.com/600/400/biryani?lock=24,Raj Patel,owner.curry-house@example.com,Chinese,40.8568,-74.1500
Pizza Forno,Crispy thin-crust pizzas and garlic knots,https://loremflickr.com/600/400/pizzaslice?lock=25,Luca Ferretti,owner.pizza-forno@example.com,Italian,40.8648,-74.1580
Rincon Latino,Latin American empanadas arepas and ceviche,https://loremflickr.com/600/400/empanada?lock=26,Isabella Reyes,owner.rincon-latino@example.com,Mexican,40.8728,-74.1660
The Wing Spot,Crispy wings tenders and dipping sauces,https://loremflickr.com/600/400/wings?lock=27,Tyrone Jackson,owner.wing-spot@example.com,Mexican,40.8808,-74.1740
Veggie Delight,Wholesome vegetarian wraps bowls and smoothies,https://loremflickr.com/600/400/vegetarian?lock=28,Maya Bloom,owner.veggie-delight@example.com,French,40.8888,-74.1820
Tokyo Teppan,Live teppanyaki grills and bento boxes,https://loremflickr.com/600/400/teppanyaki?lock=29,Kenji Watanabe,owner.tokyo-teppan@example.com,Japanese,40.8968,-74.1900
The Coffee Corner,Specialty espresso sandwiches and brunch plates,https://loremflickr.com/600/400/coffee?lock=30,Nora Brewer,owner.coffee-corner@example.com,French,40.9048,-74.1980
